username,chat,emotion,toxicity
Watanabe Taiki #aaron,retards,disgust,Cyberbullying
Fritzo #esj,retards,disgust,Cyberbullying
Jape,REYNA CLUTCH,happy,not toxic
XH Calypso #NYX,reyna dont crouch,neutral,not toxic
neverland,reyna dont crouch,disgust,male preserve
GT BLACKSHEEP # XIE,Reyna has extra creds. Request a gun if you need it,neutral,not toxic
neverland,REYNA MID,neutral,not toxic
Jape,Reyna signals Dangernear Mid Bottom,neutral,not toxic
Jape,Reyna thinks we should save Creds this round.,neutral,not toxic
Jape,REYNA US SLIDING,disgust,Blaming others
bagal #3250,rip,disgust,Cyberbullying
Zeai#AJMNB,robot,disgust,Cyberbullying
DaBoMi#mob1,rotate,happy,not toxic
Burakdoy #0911,Rotate,neutral,not toxic
EMP Veldora#GAGO,rotate,happy,not toxic
neverland,rotating,neutral,not toxic
bagal #3250,rotating,neutral,not toxic
vic sotto#EXSNT,rush,neutral,not toxic
kaorikoko #cry,rush a,neutral,not toxic
calcifer#cruui,s*ck my dic,disgust,sexism
Dos #akosi,s2pid,disgust,Cyberbullying
K45oyik #1206,s2pid brat,anger,ageism
JesusFries #6969,sa,disgust,not toxic
neverland,sabi kasi rotate,anger,Blaming others
neverland,sabing blingd,anger,male preserve
machu,sad,sad,sarcasm
neverland,sad,sad,Sarcasm
neverland,sad,sad,sarcasm
Kana,sadd,sad,sarcasm
LC5 MYCK #12345,sagad mo,neutral,not toxic
bagal #3250,sage,neutral,not toxic
EMP Veldora#GAGO,sage heal,neutral,not toxic
Gustavo #KDK,Sage heal me,neutral,not toxic
EMP Veldora#GAGO,sage res,neutral,not toxic
EMP Veldora#GAGO,sage wall,neutral,not toxic
Jape,salita,anger,cyberbullying
Jape,SALITA NAMAN,anger,cyberbullying
neverland,sama kay ong harbor,anger,not toxic
neverland,same,neutral,not toxic
CK03,Same,neutral,not toxic
Jape,SAN ANYUNG SALITA PUTANGIAN NAMAN,anger,cyberbullying
neverland,SAN NA MIC MO,neutral,not toxic
neverland,SAN NA MIC MO,anger,cyberbullying
Pupibro シ #PUPI,sana di ka na pinanganak,anger,Cyberbullying
IV of Fade #OPM,sana di ka na pinanganak,anger,Cyberbullying
Kazu#12345,Sana di ka nalang pinanganak,anger,Cyberbullying
Nazzzzz #0503,Sana di ka nalang pinanganak amb*bo mo,anger,male preserve
His Kitten#AWW,sana di kana naglaro,anger,Cyberbullying
nvrgonletudown #cali,sana hindi ka na lang naglaro,anger,blaming others
neverland,sana ikaw nagtanim,anger,sarcasm
TRB Chimkemn #star,sana mag ka cancer ka,anger,Cyberbullying
Dos #akosi,sana mamatay ka na literal,anger,Cyberbullying
i miss him#7887,sana mamatay kana,anger,Cyberbullying
RAAALD #3685,sana mamatay na (relative) mo,anger,Cyberbullying
i miss him#7887,sana mamatay na mama mo,anger,Cyberbullying
SCE Sphynx#tin,sana namatay ka nalang,anger,Cyberbullying
K4t4kuri #5030,sana okay kalang (agent),disgust,Cyberbullying
Pupibro シ #PUPI,sana pinahid ka na lang sa pader,disgust,sarcasm
Naofumi#0721,Sana pinutok ka nalang sa kumot,disgust,Cyberbullying
GEORGINA #RG28,sarap mo,disgust,not toxic
Jape,sasalita raze tangnia sobrang tanga naman,anger,Cyberbullying
Kana,save,neutral,not toxic
Jayx,save,neutral,not toxic
machu,sawadikap,happy,not toxic
HS Akane不 #HonoS,"sayang kayo sa oras mga bobo""",anger,Cyberbullying
HS Akane不 #HonoS,"sayang kayo sa oras mga bobo""",anger,Cyberbullying
edwrd #oms,saying bad words,anger,Cyberbullying
edwrd #oms,saying badwords,anger,Cyberbullying
Jape,see,disgust,sarcasm
Fritzo #esj,sentences that show verbal toxicity that I cannot specify because they may be too much,neutral,not toxic
暗Cloudcry ツ #4909,Setup mo,neutral,not toxic
jidi #ritze,sexism,disgust,sexism
Radyliance#00000,sexism jokes and offensive,disgust,sexism
Lotus#sugar,sexism remarks,disgust,sexism
SungJinwoo#aceu,sexism remarks,disgust,sexism
DanaSoslar#abbie,sexism remarks since i’m a female player,disgust,sexism
Bossy Baby #LUSHY,sexual harassment jokes,disgust,sexism
His Kitten#AWW,Sexual harrasment,disgust,male preserve
Lotus#sugar,sexual messages,anger,male preserve
keshii#zZzzZ,sexualising girls etc,disgust,sexism
ginanon lng aq #ahri,sexualizing phrases and etc.,disgust,sexism
neverland,sg na gmait pota,disgust,Gamesplaining
p1nk venom #BLINK,sheeeesh,happy,cyberbullying
CrisEvans #0912,Sheeesh,happy,not toxic
0,sheeesh,happy,not toxic
greenapple#0401,sheeesh,happy,not toxic
Shizu #IDK,sheesh,happy,not toxic
MiNayeon#PENGU,sheesh,happy,not toxic
celsius#urs,sheesh,happy,not toxic
Maki #chris,sheesh,happy,not toxic
Shizu #IDK,sheesh,happy,not toxic
ces#41222,Sheesh,happy,not toxic
ETOC Kiyo#2213,sheesh,happy,not toxic
Maki #chris,Sheesh,happy,not toxic
14th Element,shit,anger,cyberbullying
mariebiscuits #6968,Shit,anger,cyberbullying
Pikayuls#GEAR,shit,anger,RNG complaints
SSPH 麗直#715,Shit/Sht,anger,RNG complaints
Sunsooo#Sloth,Shit____,anger,RNG complaints
Diko na po maalala,shithead,anger,Cyberbullying
West Virginia #Htdog,short,neutral,not toxic
neverland,shotgun na gamit mong gago ka dimo pa mapatama,anger,Gamesplaining
Lien#0618,shut the fuck up,anger,cyberbullying
impurities#lsf,shut the fuck up,anger,Cyberbullying
Zzero0#2485,shut the fuck up,anger,Cyberbullying
mommy #nicv,shut the fuck up ,anger,Cyberbullying
Summer #May,shut the fuck up bitch.,anger,Cyberbullying
CHAOS Miku#ASTRA,Shut up bronze,anger,Cyberbullying
aint good#0000,Shut up coach,anger,Cyberbullying
Xanthia#lei,Shut up noob,anger,Cyberbullying
Material gurl #1234,Shut up Quit the game you (curse word) ,anger,Gamesplaining
Migs#4Youu,Silver?,neutral,not toxic
CHOLO #HUSK,Simp for girls ,disgust,cyberbullying
neverland,sinasabi nitong reyna,anger,Blaming others
neverland,sino kausap mo dyan iyaqq,anger,cyberbullying
Daniel Pamilya #4694,sino may skin?,neutral,not toxic
0,sinong babae rito?,neutral,not toxic
Itsviiiii #cute,siraulo,disgust,Cyberbullying
ram #0412,siraulo ka ba,anger,Cyberbullying
Gezzenova #NA1,sisihan,disgust,Cyberbullying
NX Rikapyon#king,Sit,disgust,Cyberbullying
mangopie#pie,sit,disgust,Cyberbullying
Raijin#0829,Site calls(A,neutral,Cyberbullying
Bianx#whiff,Skin,neutral,not toxic
TonKetsu #TWICE,skin (lol),disgust,sarcasm
GT BLACKSHEEP # XIE,Skye NEEDS HEALING at B Site,neutral,not toxic
elysiarson#bro,slave,disgust,Cyberbullying
Chicken Adobo#Les,sleepwell,happy,not toxic
Xiaya#cutie,sleepwell kids,happy,ageism
Potato#KIT,slurs,neutral,not toxic
elysiarson#bro,slut,disgust,sexism
Gezzenova #NA1,smoke,neutral,not toxic
Maggiekarp Fnboy#1fan,Smoke,neutral,not toxic
0,smoke,neutral,not toxic
haru#riee,smurf,disgust,EBR complaints
Alysay#1004,smurf,disgust,EBR complaints
Burakdoy #0911,Smurf pa,disgust,EBR complaints
UFC Hot Sauce #UFCHS,So bad,disgust,Cyberbullying
rosie binx #mochi,so bad.,disgust,Cyberbullying
House #2257,so dumb,disgust,Cyberbullying
Saberu,so go a,disgust,EBR complaints
Jape,so good,happy,not toxic
Szakki#szaki,So good,happy,sarcasm
greenapple#0401,so good,happy,not toxic
1T Draaaude #k1ng,so good,happy,not toxic
uzi#08880,so good! i love you,happy,not toxic
pol#9715,so noob,anger,Cyberbullying
Jape,so stfu,anger,Cyberbullying
Hate #qtqt,so stupid,anger,cyberbullying
jhar #8888,so stupid,anger,male preserve
Shawn,so what,disgust,sarcasm
神Yaboku#Yato,some are info about the current round,happy,not toxic
botfrag haha #1432,"Some homophobic comments such as ""you're gay? I feel bad for you man"" ""yak bading"" etc... ",disgust,not toxic
rein #yara,Some people use voice chat to callout,happy,not toxic
Fritzo #esj,some racial slurs,disgust,not toxic
Euwannnn#0523,some racial slurs and some stereotypes on women need to be in the kitchen and not playing games,disgust,Racism
Skept1c#PNDA,some racist words/discriminating words towards race like filipino dogs,anger,Racism
yler#11111,something like that.,neutral,not toxic
Kana,SORRY,sad,not toxic
shobe#hykw,sorry,sad,not toxic
guiche#lorum,sorry,sad,not toxic
うねり#meili,sorry,sad,not toxic
Miloii #meow,sorry,sad,not toxic
Onikku,sorry na raze wag ka na iyak,disgust,sarcasm
Iskiri,Sova wants Vandal,neutral,not toxic
Jape,Spam nyo yan haha,happy,EBR complaints
Jape,spam report,disgust,EBR complaints
zenitchuu#67050,spamming ez(from enemy team),disgust,Cyberbullying
neverland,spawn,neutral,not toxic
haru#riee,squatter,disgust,Cyberbullying
邪魔するな #ヤバい,sry,sad,not toxic
DDT imjiiix #krv13,stay on the kitchen duties,disgust,Cyberbullying
neverland,stay site,neutral,not toxic
Sceni#knil,Step up,happy,not toxic
Extalia II#Rexum,stfu,anger,cyberbullying
TheSacredCat #1222,stfu,anger,Cyberbullying
Rin#Luts,stfu,anger,RNG complaints
Liyan #AX1A,stfu,anger,RNG complaints
オーケー # euri,stfu,anger,RNG complaints
NRX Jae eon#999,stfu,anger,RNG complaints
R3DMATRIX#0609,stfu,anger,RNG complaints
CHAOS Miku#ASTRA,stfu,anger,RNG complaints
#Tesla,STFU and lasty cheater (if magaling ka or naka one tap),anger,RNG complaints
MartinDeCello #LCN79,Stfu stupid trash you don't even look like a hard stuck silver more than looking like a iron 1,anger,RNG complaints
pol#9715,stfu you're bad,anger,RNG complaints
Katsuki#AJKSS,stop autolocking duelist if ur sh*t,anger,RNG complaints
XH gelocin#jakem,stop boosting your duo,anger,EBR complaints
0,Stop playing,anger,Gamesplaining
Hyeju #Kyu,Stop playing the game,anger,Gamesplaining
TS Monsterific #6969,stop playing the game you trash,anger,Gamesplaining
ilovesummer#ily,stop playing the game. dumbass. what the fuck are you doing? why are you botfragging?,anger,Gamesplaining
Arlecchino#9701,stop playing this game,anger,Gamesplaining
PZX KEN #EALYN,stop playing valorant,anger,Gamesplaining
Akira#jig,stop playing valorant,anger,Gamesplaining
WDZ Yahwe#5211,Stop playing valorant,anger,Gamesplaining
Deep Voice Egirl#aira,Stop playing valorant because ur a girl,anger,Gamesplaining
artem1s #LUNA,stpd,disgust,cyberbullying
Nvrm #2542,stup1d,disgust,cyberbullying
14th Element,stupid,disgust,cyberbullying
Phantomerist #Chewy,Stupid,disgust,Cyberbullying
Chanx#1010,stupid,disgust,cyberbullying
comrade john#0811,stupid,disgust,Cyberbullying
Nachos#5698,stupid,disgust,Cyberbullying
Yakiniku#Ramen,Stupid,disgust,cyberbullying
Sleazex#RAKK,stupid,disgust,cyberbullying
katana #yv4n,stupid,disgust,cyberbullying
2996,stupid,disgust,cyberbullying
Midnighttt #noob,Stupid,disgust,cyberbullying
Danke Seb V5#0310,stupid,disgust,cyberbullying
C8H11NO2#007,stupid,disgust,cyberbullying
Mitochondria#isthe,stupid,disgust,Cyberbullying
0,Stupid,disgust,Cyberbullying
XH gelocin#jakem,stupid,disgust,cyberbullying
fishybench#6069,Stupid,disgust,cyberbullying
Nautilus#NTLS,stupid,disgust,Cyberbullying
DZADDY #TWICE,stupid,disgust,Cyberbullying
chewu#LRRY,stupid,disgust,Cyberbullying
prans#kath,stupid,disgust,Cyberbullying
zenitchuu#67051,stupid,disgust,Cyberbullying
Kirisu#RSNNE,STUPID,disgust,Cyberbullying
Fry #Bait,stupid,disgust,Cyberbullying
jlq#4721,stupid,disgust,Cyberbullying
SCE Hades #Riz,stupid,disgust,Cyberbullying
Panda#Pondo,Stupid,anger,Cyberbullying
juice#1015,stupid,anger,Cyberbullying
Marius#9310,stupid,anger,Cyberbullying
zdraugnaV #Ja9,stupid,anger,Cyberbullying
Spear#PH1,Stupid,anger,Cyberbullying
Iwantyoutobemine#yesim,Stupid,anger,Cyberbullying
Boozy#182,Stupid,anger,Cyberbullying
Donut #Sunfl,stupid,anger,Cyberbullying
Izumi#maya,Stupid,anger,Cyberbullying
Zaelleeeeeee#0143,stupid,anger,Cyberbullying
Euwannnn#0523,Stupid,anger,Cyberbullying
jennie kim #0124,Stupid,anger,Cyberbullying
xNightfallx,stupid,anger,Cyberbullying
o7 naevis #nvstr,stupid,anger,Cyberbullying
baò#huáng,Stupid,anger,Cyberbullying
Annastasius#Kath,Stupid,anger,Cyberbullying
Zoe Potato#zoe,stupid,anger,Cyberbullying
Oreo#kbnjl,stupid,anger,Cyberbullying
Dooby #babi,Stupid,anger,Cyberbullying
SSPH 麗直#715,Stupid,anger,Cyberbullying
Shanice#111,Stupid,anger,Cyberbullying
jotdog#shesh,stupid,anger,Cyberbullying
Diko na po maalala,Stupid,anger,Cyberbullying
guiche#lorum,stupid,anger,Cyberbullying
astrielle#keshi,stupid,anger,Cyberbullying
Niccolò Paganini#Vrtso,stupid,anger,Cyberbullying
twirly#eyy,stupid,anger,Cyberbullying
Sak Madiq #66699,Stupid,anger,Cyberbullying
nabi #bzbzz,stupid,anger,Cyberbullying
Serendipity#TW1SH,stupid,anger,Cyberbullying
Hyeju #Kyu,Stupid,anger,Cyberbullying
Skwa #FPS,stupid,anger,Cyberbullying
bagal #3250,stupid,anger,Cyberbullying
nihoe #meowr,stupid,anger,Cyberbullying
Eyyshork #ace,Stupid,anger,Cyberbullying
Aiko#0425,stupid,anger,Cyberbullying
kyhianna#1208,stupid,anger,Cyberbullying
starchrys#4446,stupid,anger,Cyberbullying
XH Makie#1802,stupid,anger,Cyberbullying
zineeey#777,stupid,anger,Cyberbullying
jhar #8888,stupid,anger,Cyberbullying
GZ Chitandaa#Hyou,stupid,anger,Cyberbullying
Alysay#1004,stupid,anger,Cyberbullying
keyleeeee#00001,stupid,anger,Cyberbullying
Fool #6104,Stupid,anger,Cyberbullying
C8H11NO2#007,stupid,anger,Cyberbullying
Nautilus#NTLS,stupid,anger,Cyberbullying
chewu#LRRY,stupid,anger,Cyberbullying
Kirisu#RSNNE,STUPID,anger,Cyberbullying
DBTK MAGDALENA #BAKLA,stupid,anger,Cyberbullying
Szakki#szaki,Stupid,anger,Cyberbullying
Nvrm #2542,stupid,anger,Cyberbullying
KPY Eru #001,stupid,anger,Cyberbullying
Vaxi#Vaxi,stupid,anger,Cyberbullying
VALAR Lucifer #PEPE,Stupid,anger,Cyberbullying
Oreo#kbnjl,stupid,anger,Cyberbullying
RAGING T1TE !vamos,Stupid,anger,Cyberbullying
Hyeju #Kyu,Stupid,anger,Cyberbullying
purr purr#baby,Stupid,anger,Cyberbullying
Raven#sly,'stupid',anger,Cyberbullying
Hyacinth#6661,'stupid (agent name)' 'girls don't fit to play valorant' 'fvck u (ign/agent name)',anger,Cyberbullying
Aoki #xyr,Stupid (agent),anger,Cyberbullying
Jsauce#1212,stupid aim,anger,Cyberbullying
Farci :2712,stupid and iba PA,anger,Cyberbullying
Lwyslo#SMN,stupid bitch,anger,sexism
mustard #tin,stupid kid,anger,ageism
Vaaaaaaaaaaaann#2087,Stupid player,anger,MM complaints
i 8 his chicken#dark,stupid team,anger,MM complaints
ONIG#nani,stupid team,anger,MM complaints
Mushu#1120,stupid team,anger,MM complaints
SUPA H0T FIRE #6969,stupid.,anger,Cyberbullying
K4t4kuri #5030,stuppid,anger,Cyberbullying
Jape,subo titi ko,disgust,male preserve
Iskiri,suc vAT,anger,cyberbullying
Iskiri,SUC VAT,disgust,cyberbullying
keshii#zZzzZ,suck,disgust,Cyberbullying
Shizuwu,suck my dick,disgust,sexism
I hate Reyna#8591,sucks,disgust,Cyberbullying
I hate Reyna#8591,sucks,disgust,Cyberbullying
Jayx,sunog pala ih,disgust,Cyberbullying
Jayx,SUNOG?,disgust,sarcasm
Pupibro シ #PUPI,supot,disgust,sexism
Sak Madiq #66699,supot,disgust,sexism
Naofumi#0721,supot,disgust,sexism
Hyde #JAAB,sure lose,disgust,RNG complaints
machu,sure!! HAHA fun playing w u. God bless u also <3,happy,not toxic
i 8 his chicken#dark,surr na di marunong kakampi,sad,MM complaints
neverland,surrender,sad,sarcasm
ecniv#0405,surrender na kayo,sad,RNG complaints
iskay #0525,surrender nalang,sad,RNG complaints
chiefZr0#6969,swear words,anger,Cyberbullying
0,Swear words,anger,Cyberbullying
emjaycee#ASTRO,T*ANG*,anger,Cyberbullying
krazyybeeeee#barbs,T*ng*na mo,anger,Cyberbullying
Nazzzzz #0503,T*nga-T*nga mo maglaro.,disgust,Cyberbullying
Nazzzzz #0503,T*ngina,anger,Cyberbullying
Siomai#5722,t@ng@,anger,Cyberbullying
jumpingboa#KWON,t4ng4,anger,Cyberbullying
neverland,TAKBUHINN,anger,cyberbullying
Saberu,TALK TOO MUCH,disgust,Cyberbullying
catseukki#WENZ,talo na,sad,RNG complaints
vyn#rei,talo na to pre may babae satin,disgust,sexism
JesusFries #6969,tang,anger,Cyberbullying
NissanSilvia S15 #Panda,Tang ina,disgust,Cyberbullying
Stratøm#KBand,Tang ina mo,disgust,cyberbullying
mart1ne#0801,tang ina mo,disgust,Cyberbullying
0,Tang ina mo,anger,Cyberbullying
Serendipity#TW1SH,tang ina mo,anger,Cyberbullying
Cosmo#2029,tang ina mo,sad,Cyberbullying
Yumi Noona#Lewd,Tang ina mo,anger,Cyberbullying
Killua,Tang ina mo,sad,Cyberbullying
Yumi Noona#Lewd,Tang ina mo,anger,Cyberbullying
14th Element,tanga,anger,cyberbullying
0,Tanga,anger,cyberbullying
comrade john#0811,tanga,anger,male preserve
Farci :2712,Tanga,anger,Cyberbullying
Asclepius #danic,tanga,disgust,male preserve
INS Leo#Shawn,tanga,sad,male preserve
CHRONOS #MICHY,tanga,disgust,Cyberbullying
Nachos#5698,tanga,disgust,male preserve
p1nk venom #BLINK,tanga,anger,male preserve
Jeeeeeelly #Ace,tanga,disgust,Cyberbullying
Jeeeeeelly #Ace,tanga,anger,male preserve
BL JeromePlays#Heal,Tanga,anger,male preserve
Potion #STIV,tanga,disgust,Cyberbullying
klee#teya,tanga,disgust,male preserve
Inés #xiao,tanga,anger,male preserve
Going Merry#0428,tanga,anger,Cyberbullying
Chicken Adobo#Les,Tanga,disgust,male preserve
Creep#2851,tanga,anger,male preserve
strawberry #mica,tanga,disgust,Cyberbullying
Wiven#Vivid,tanga,anger,male preserve
Teresa #Paula,Tanga,anger,male preserve
Itsviiiii #cute,tanga,disgust,Cyberbullying
laufeyson #3796,tanga,anger,male preserve
GEORGINA #RG28,tanga,anger,male preserve
aki #fifi,tanga,disgust,Cyberbullying
yann19#YAZZ,tanga,anger,male preserve
RazG#Razzy,Tanga,anger,male preserve
Psychedelic #kohi,Tanga,anger,Cyberbullying
DDT Panda #josh,tanga,anger,male preserve
chewu#LRRY,tanga,disgust,Cyberbullying
Xxina01#marx,tanga,anger,male preserve
iroh#haha,tanga,anger,male preserve
ryuddaeng #jmkai,tanga,anger,Cyberbullying
KPY Eru #001,tanga,disgust,male preserve
bumalik kana hmp#imy,tanga,anger,male preserve
ASTRID#MVP,tanga,anger,Cyberbullying
chimken nagets #jeyzz,tanga,sad,male preserve
BrokenASF#imhsm,tanga,anger,male preserve
CN kaz#MKAZ,tanga,anger,Cyberbullying
MiAmoré#zoro,tanga,sad,male preserve
ylysah#mer,tanga,anger,male preserve
ten#1975,tanga,anger,Cyberbullying
SUPA H0T FIRE #6969,Tanga,surprise,male preserve
Amethyst#8899,tanga,anger,male preserve
mart1ne#0801,tanga,disgust,Cyberbullying
Road#0020,Tanga,disgust,male preserve
SSPH 麗直#715,Tanga,anger,male preserve
Lotus#sugar,Tanga,anger,Cyberbullying
twirly#eyy,tanga,anger,male preserve
TBE Whack#cutie,Tanga,anger,Cyberbullying
bulad#69420,Tanga,anger,Cyberbullying
Sheesh Escudero #Tene,Tanga,anger,Cyberbullying
Zero Sevet #NOCAP,tanga,anger,Cyberbullying
Daga #mouse,Tanga amp,anger,Cyberbullying
GodJihyo#1015,Tanga and Bobo is the most common word I read,anger,Cyberbullying
Nautilus#NTLS,tanga and etc,disgust,Cyberbullying
Nautilus#NTLS,tanga and etc,disgust,Cyberbullying
artem1s #LUNA,tanga anong ginagawa mo,anger,Cyberbullying
0,tanga but mostly just nt and some infos.,anger,Cyberbullying
hanibiiiii#9999,Tanga def mo yung spike,disgust,Cyberbullying
Jeeeeeelly #Ace,tanga ina mo,disgust,Cyberbullying
Abystigma#TRUTH,tanga mo,anger,cyberbullying
Protatoes#0505,tanga mo,disgust,cyberbullying
Munkush #3828,tanga mo,disgust,cyberbullying
ONIG#nani,tanga mo,anger,cyberbullying
haru#riee,tanga mo,disgust,cyberbullying
0,Tanga mo,anger,cyberbullying
Summer #May,tanga mo,anger,cyberbullying
calcifer#cruui,tanga mo,disgust,cyberbullying
pheyb #ajn,tanga mo,anger,cyberbullying
iskis #sexy,Tanga mo,anger,cyberbullying
His Kitten#AWW,tanga mo maglaro,anger,cyberbullying
His Kitten#AWW,tanga mo maglaro,anger,cyberbullying
mau#1229,tanga mo naman,disgust,cyberbullying
DRM Aim Bot #PJAY,tanga mo naman,disgust,cyberbullying
Asclepius #danic,Tanga mo naman,anger,cyberbullying
ram #0412,tanga mo naman,disgust,cyberbullying
MiAmoré#zoro,tanga mo naman botfrag,anger,cyberbullying
KennyX #30 6,tanga mo.,disgust,cyberbullying
onin#ekis,tanga mu,anger,cyberbullying
StrwbrryJa#5720,tanga naman ayaw gamitin ult,disgust,cyberbullying
RGB 0000FF#BLUE,tanga tanga,anger,cyberbullying
ces#41222,tanga tanga,anger,Cyberbullying
G2V Yadidss #0413,tanga tanga,anger,Cyberbullying
tinapangtubol#kobe,tanga tanga,anger,Cyberbullying
DN NEMO#PEKOO,tanga tanga mo,anger,Cyberbullying
yoriii#zoom,tanga. ,anger,Cyberbullying
Eirlys#5852,tanga. wag ka ng maglaro,anger,Gamesplaining
Astræa #7862,tanga/stupid,anger,Cyberbullying
Danizue#GF2,Tanga2,disgust,Cyberbullying
Danizue#GF2,Tanga2,anger,Cyberbullying
gaelcii,tangahin gaya ng mama mo something,anger,Cyberbullying
hecs#2OO1,Tangang Duelist,disgust,Cyberbullying
Markehfi #del,tangena bobo kampe,anger,Cyberbullying
neverland,tangha k pla e -killjoy,anger,cyberbullying
neverland,tangha ka pala cypher,anger,Cyberbullying
Jape,TANGIAN MO,anger,Cyberbullying
Jape,tangian ymo,disgust,Cyberbullying
neverland,tangignayo,anger,cyberbullying
neverland,tangina,anger,cyberbullying
0,Tangina,disgust,Cyberbullying
Abystigma#TRUTH,tangina,anger,Male preserve
Ryujin#0418,Tangina,anger,EBR complaints
Raijin#0829,Tangina,disgust,Cyberbullying
ryuddaeng #jmkai,tangina,disgust,Male preserve
kikiDoYouLoveMe #4554,Tangina,anger,EBR complaints
Calamacakes#cakes,tangina ka,anger,Cyberbullying
SCE Sphynx#tin,tangina ka,disgust,Male preserve
Calamacakes#cakes,tangina ka,anger,EBR complaints
Jape,tangina mga basura,anger,Cyberbullying
14th Element,tangina mo,disgust,Male preserve
Berith#TWICE,tangina mo,anger,EBR complaints
Beau#0718,TANGINA MO,anger,Cyberbullying
Allymaranthine#0916,Tangina mo,disgust,Male preserve
Ezicriel#five,tangina mo,anger,EBR complaints
Lomllev#Berry ,Tangina mo,anger,Cyberbullying
Arlecchino#9701,Tangina mo,disgust,Male preserve
ONIG#nani,tangina mo,disgust,EBR complaints
Zeai#AJMNB,tangina mo,anger,Cyberbullying
Amira #CCCCC,Tangina mo,disgust,Male preserve
Icewallowcome#bet,tangina mo,anger,EBR complaints
kaitoch4n#khai,tangina mo,anger,Cyberbullying
Luciofix#chase,tangina mo,disgust,Male preserve
TiP#0101,Tangina mo,anger,EBR complaints
Claive Haine#ori,Tangina mo,anger,Cyberbullying
Moth #layt,TANGINA MO *insert agent name ANG BOBO MO,disgust,Male preserve
calcifer#cruui,tangina mo *valo agent*,anger,EBR complaints
Ancalagon #JIHYO,Tangina mo ang bobo bobo mo,disgust,Cyberbullying
yler#11111,tangina mo ang bobo mo,anger,Male preserve
nvrgonletudown #cali,tangina mo ang tanga mo,disgust,EBR complaints
Summer #May,Tangina mo bobo,anger,Cyberbullying
IV of Fade #OPM,Tangina mo bobo mo wag ka na maglaro,anger,Male preserve
Styx #4196,tangina mo boosted,disgust,EBR complaints
AXR lampniibarra #RZCT,Tangina mo gago,anger,Cyberbullying
Migs#4Youu,Tangina mo jepoy dizon,disgust,Male preserve
neverland,tangina mo ka,anger,EBR complaints
Jeffers0n#2004,tangina mo pakamatay ka na,anger,Cyberbullying
SCE Sphynx#tin,TANGINA MONG BOBO KA,disgust,Male preserve
Aiyu#messy,tangina mong bobo ka; idiot; fucking boosted; bisakol; entry bobong dueslist,disgust,EBR complaints
Kay JV lang po#0629,tangina nung sage,anger,Cyberbullying
mustard #tin,tangina nyo,anger,Male preserve
Omalabs #9245,Tangina nyo,disgust,EBR complaints
Eirlys#5852,tanginamo,disgust,Cyberbullying
CEO Kani #sebas,tanginamo,disgust,Male preserve
Bjorn Ironside #nice,tanginamo,disgust,EBR complaints
rein #yara,tanginamo,anger,Cyberbullying
Vile#krim,tanginamo,anger,Cyberbullying
Yummy hotdog #tomeh,Tanginamo,surprise,Cyberbullying
LFT Crunchiee #1228,tanginamo,anger,cyberbullying
G2V Yadidss #0413,tanginamo ang bobo mo,disgust,cyberbullying
M0moring #momo,tanginamo bobo,anger,Male preserve
Diko na po maalala,Tanginamo gago ka tangatanga mo,disgust,Male preserve
Seiji#B0nk,tanginamo wag kana maglaro matulog ka na,disgust,Male preserve
Jayzy #ashi,tanginamo wag kana magvalo bobo ka,disgust,EBR complaints
NattyTashy #chrry,Tanginamong bobo,anger,Cyberbullying
calcifer#cruui,tanginang boses 'yan,disgust,Cyberbullying
Hyde #JAAB,tangna,surprise,EBR complaints
LSGN MaysterJoe#3109,tangna amputa,anger,cyberbullying
Jape,tanig nayni,anger,Cyberbullying
PKP SidesteP#TABA,taoxicity,disgust,not toxic
neverland,tapos isisisi mo sa iba pag nagreklamo,disgust,Blaming others
neverland,tapos umiyak,disgust,Cyberbullying
neverland,TAPOS?,disgust,sarcasm
neverland,TAPOS?,disgust,sarcasm
MiAmoré#zoro,tara picture,neutral,not toxic
Extalia II#Rexum,tarantado,anger,cyberbullying
Nitch#0828,tarantado,surprise,cyberbullying
CRZY Sundae #Sweet,tarantado,anger,cyberbullying
Jape,TARNATOD,disgust,Cyberbullying
Kyiv#BTFK,tas mangdadamay ng pamilya lmao.,disgust,cyberbullying
McDanolds#Coke,Tatanga mo *character*,disgust,cyberbullying
AXR lampniibarra #RZCT,Tatanga niyo,anger,EBR complaints
Miwa#0710,tatanga niyo,surprise,EBR complaints
Miwa#0710,tatanga niyo,anger,cyberbullying
2996,telling them not to play anymore,disgust,Gamesplaining
Iskiri,TF,anger,RNG complaints
neverland,tf,surprise,Cyberbullying
neverland,tf,surprise,cyberbullying
DaBoMi#mob1,tf,anger,RNG complaints
CK03,TF,surprise,EBR complaints
fatee#rowr,tf,surprise,EBR complaints
ikura desu#bleu,TF,anger,EBR complaints
neverland,TF TF,anger,Cyberbullying
RAGING T1TE !vamos,tf that aim bro?,anger,EBR complaints
Iskiri,thaat waas unlucky,sad,RNG complaints
PRKN VINCE #Queen,Thank you,happy,not toxic
GZ Chitandaa#Hyou,thank you for the carry,happy,not toxic
Material gurl #1234,Thank you for the play,happy,not toxic
Munkush #3828,Thank you sa pagbuhat,happy,EBR complaints
celsius#urs,thank you!,happy,not toxic
ZeroTwo#Kneel,Thanks,happy,not toxic
machu,thanks for accept,happy,not toxic
Saberu,thanks for being supportive,happy,not toxic
Shizuwu,thanks!,happy,not toxic
Ninsbaby#Ganda,Thankyou,happy,not toxic
